TSN,FINAL_ID
0033005,SCROPHULARIACEAE
0048740,HYDROIDA
0052652,CHONDRACTINIDAE
0053965,MICROTURBELLARIA
0057491,HOPLONEMERTEA
0066781,SPIONIDAE
0067718,AMPHARETIDAE
0069166,MEGASCOLECIDAE
0083072,UNIONICOLIDAE
0083179,THYASIDAE
0083212,HYDRYPHANTIDAE
0083544,ORIBATEI
0088530,CYCLOPOIDA
0092283,SPHAEROMATIDAE
0092564,IDOTEIDAE
0093746,MELITIDAE
0097324,ASTACIDAE
0098748,XANTHIDAE
0102159,PROTONEURIDAE
0103990,MACROVELIIDAE
0104019,CERATOCOMBIDAE
0109234,CARABIDAE
0112737,SPHAERIUSIDAE
0113835,LAMPYRIDAE
0113869,MELYRIDAE
0114030,LIMNICHIDAE
0114999,NEUROPTERA
0117906,COSSIDAE
0121636,MYCETOPHILIDAE
0122702,SCIARIDAE
0122975,CECIDOMYIIDAE
0125556,TRICHOCERIDAE
0125875,CORETHRELLIDAE
0130052,BRACHYCERA
0143299,CLUSIIDAE
0151815,SARCOPHAGIDAE
0152741,HYMENOPTERA
0152867,BRACONIDAE
0153659,MYMARIDAE
0154031,CYNIPIDAE
0154409,DIPLOPODA
0154416,POLYDESMIDA
0155469,BRYOZOA
0553107,HEXAMITIDAE
0563956,NEMATA
0616734,ERIRHINIDAE
0678385,SPHAERIUSIDAE
0733326,ORIBATEI
BAY0291,NO ORGANISMS
BAY0382,UNIDENTIFIED INVERTEBRATE
BAY0439,CORIXINI
