"","TSN","FINAL_ID"
"1","102159","PROTONEURIDAE"
"2","103990","MACROVELIIDAE"
"3","104019","CERATOCOMBIDAE"
"4","109234","CARABIDAE"
"5","678385","SPHAERIUSIDAE"
"6","113835","LAMPYRIDAE"
"7","113869","MELYRIDAE"
"8","114030","LIMNICHIDAE"
"9","114999","NEUROPTERA"
"10","117906","COSSIDAE"
"11","121636","MYCETOPHILIDAE"
"12","122702","SCIARIDAE"
"13","122975","CECIDOMYIIDAE"
"14","125556","TRICHOCERIDAE"
"15","125875","CORETHRELLIDAE"
"16","130052","BRACHYCERA"
"17","143299","CLUSIIDAE"
"18","151815","SARCOPHAGIDAE"
"19","152741","HYMENOPTERA"
"20","152867","BRACONIDAE"
"21","153659","MYMARIDAE"
"22","154031","CYNIPIDAE"
"23","154409","DIPLOPODA"
"24","154416","POLYDESMIDA"
"25","155469","BRYOZOA"
"26","33005","SCROPHULARIACEAE"
"27","718924","HYDROIDA"
"28","52652","CHONDRACTINIDAE"
"29","53963","MICROTURBELLARIA"
"30","553107","HEXAMITIDAE"
"31","59490","NEMATA"
"32","57491","HOPLONEMERTEA"
"33","616734","ERIRHINIDAE"
"34","66781","SPIONIDAE"
"35","67718","AMPHARETIDAE"
"36","678385","SPHAERIUSIDAE"
"37","69166","MEGASCOLECIDAE"
"38","733326","ORIBATEI"
"39","83072","UNIONICOLIDAE"
"40","83212","THYASIDAE"
"41","83212","HYDRYPHANTIDAE"
"42","733326","ORIBATEI"
"43","88530","CYCLOPOIDA"
"44","92283","SPHAEROMATIDAE"
"45","92564","IDOTEIDAE"
"46","93746","MELITIDAE"
"47","97324","ASTACIDAE"
"48","98748","XANTHIDAE"
"49","BAY291","NO ORGANISMS"
"50","BAY382","UNIDENTIFIED INVERTEBRATE"
"51","BAY439","CORIXINI"
